sector,Daily_PnL_KRW
Consumer Cyclical,806025876.6543456
Communication Services,478778167.75283575
Healthcare,262254200.4907518
Consumer Defensive,15149087.51464844
Financial Services,-31700797.456591494
Basic Materials,-79470209.9122558
Technology,-181705718.20517638
Energy,-662241606.3562012
