Date,Country,MV_USD,PnL_USD,Country_Ret_USD
2025-01-01,US,2539577.2,0.0,
2025-01-01,HK,0.0,0.0,
2025-01-01,JP,0.0,0.0,
2025-01-02,US,1836037.6,25100.399999999998,0.00988369245085363
2025-01-02,HK,201196.4569452314,-10574.245606496539,-0.04993252361673416
2025-01-02,JP,0.0,0.0,
2025-01-03,US,2420384.2,26378.600000000035,0.014367134964992022
2025-01-03,HK,202394.29694725628,1427.3222633797996,0.007102272727272702
2025-01-03,JP,0.0,0.0,
2025-01-04,US,2420384.2,0.0,0.0
2025-01-04,HK,202394.29694725628,0.0,0.0
2025-01-04,JP,0.0,0.0,
2025-01-06,US,2764056.0,9171.800000000032,0.0037893983938583073
2025-01-06,HK,202660.21501829627,285.4369225609746,0.0014104372355429884
2025-01-06,JP,0.0,0.0,
2025-01-07,US,2768727.8000000003,4671.799999999822,0.0016901973042513702
2025-01-07,HK,199577.8936290166,-3140.710772416554,-0.015492957746478792
2025-01-07,JP,0.0,0.0,
2025-01-08,US,3126043.4,-5384.399999999859,-0.0019447198818171498
2025-01-08,HK,0.0,0.0,0.0
2025-01-08,JP,0.0,0.0,
2025-01-09,US,3126043.4,0.0,0.0
2025-01-09,HK,0.0,0.0,
2025-01-09,JP,0.0,0.0,
2025-01-10,US,3083758.4,-42285.000000000175,-0.013526683602665325
2025-01-10,HK,0.0,0.0,
2025-01-10,JP,0.0,0.0,
2025-01-11,US,3083758.4,0.0,0.0
2025-01-11,HK,0.0,0.0,
2025-01-11,JP,0.0,0.0,
2025-01-13,US,2676355.6,-10202.799999999903,-0.0033085600999092227
2025-01-13,HK,0.0,0.0,
2025-01-13,JP,0.0,0.0,
2025-01-14,US,2921243.0,-22097.600000000006,-0.008256600879195577
2025-01-14,HK,0.0,0.0,
2025-01-14,JP,0.0,0.0,
2025-01-15,US,2972991.4,51748.40000000005,0.017714513992844842
2025-01-15,HK,0.0,0.0,
2025-01-15,JP,0.0,0.0,
2025-01-16,US,2980815.4,7823.999999999868,0.0026316927791987113
2025-01-16,HK,0.0,0.0,
2025-01-16,JP,0.0,0.0,
2025-01-17,US,7575831.8,15134.60000000014,0.005077335550534307
2025-01-17,HK,0.0,0.0,
2025-01-17,JP,0.0,0.0,
2025-01-18,US,7575831.8,0.0,0.0
2025-01-18,HK,0.0,0.0,
2025-01-18,JP,0.0,0.0,
2025-01-20,US,7575831.8,0.0,0.0
2025-01-20,HK,0.0,0.0,
2025-01-20,JP,0.0,0.0,
2025-01-21,US,7622438.2,46606.399999999834,0.006151984525316392
2025-01-21,HK,0.0,0.0,
2025-01-21,JP,0.0,0.0,
2025-01-22,US,7668698.4,103010.20000000016,0.013514074800895094
2025-01-22,HK,0.0,0.0,
2025-01-22,JP,0.0,0.0,
2025-01-23,US,7902790.4,-78804.00000000016,-0.010276059363607279
2025-01-23,HK,0.0,0.0,
2025-01-23,JP,0.0,0.0,
2025-01-24,US,7859140.8,-43649.60000000014,-0.005523314904062258
2025-01-24,HK,0.0,0.0,
2025-01-24,JP,0.0,0.0,
2025-01-25,US,7859140.8,0.0,0.0
2025-01-25,HK,0.0,0.0,
2025-01-25,JP,0.0,0.0,
2025-01-27,US,7967303.6,-211935.19999999998,-0.02696671371506666
2025-01-27,HK,0.0,0.0,
2025-01-27,JP,0.0,0.0,
2025-01-28,US,8114857.0,147553.4000000002,0.018519866620872863
2025-01-28,HK,0.0,0.0,
2025-01-28,JP,0.0,0.0,
2025-01-29,US,8146320.8,31463.79999999975,0.0038773080043184647
2025-01-29,HK,0.0,0.0,
2025-01-29,JP,0.0,0.0,
2025-01-30,US,8222150.8,75830.00000000012,0.009308496665144847
2025-01-30,HK,0.0,0.0,
2025-01-30,JP,0.0,0.0,
2025-01-31,US,8511178.8,-66796.00000000009,-0.008123908406058436
2025-01-31,HK,0.0,0.0,
2025-01-31,JP,0.0,0.0,
2025-02-01,US,8511178.8,0.0,0.0
2025-02-01,HK,0.0,0.0,
2025-02-01,JP,0.0,0.0,
2025-02-03,US,8450759.2,-60419.60000000011,-0.007098852158998248
2025-02-03,HK,0.0,0.0,
2025-02-03,JP,0.0,0.0,
2025-02-04,US,8238259.6,120770.40000000031,0.014291071031819287
2025-02-04,HK,0.0,0.0,
2025-02-04,JP,0.0,0.0,
2025-02-05,US,8198548.4,28913.80000000007,0.003509697606518745
2025-02-05,HK,0.0,0.0,
2025-02-05,JP,0.0,0.0,
2025-02-06,US,8401651.0,30462.599999999802,0.0037156089729249876
2025-02-06,HK,0.0,0.0,
2025-02-06,JP,0.0,0.0,
2025-02-07,US,8392594.6,-9056.39999999971,-0.0010779309923727729
2025-02-07,HK,0.0,0.0,
2025-02-07,JP,0.0,0.0,
2025-02-08,US,8392594.6,0.0,0.0
2025-02-08,HK,0.0,0.0,
2025-02-08,JP,0.0,0.0,
2025-02-10,US,8603790.4,211195.79999999993,0.025164542083326646
2025-02-10,HK,0.0,0.0,
2025-02-10,JP,0.0,0.0,
2025-02-11,US,9725847.8,90517.3999999999,0.010520642157902861
2025-02-11,HK,0.0,0.0,
2025-02-11,JP,0.0,0.0,
2025-02-12,US,9799817.2,73969.39999999972,0.0076054449464035105
2025-02-12,HK,0.0,0.0,
2025-02-12,JP,0.0,0.0,
2025-02-13,US,9957297.4,157480.2000000004,0.016069707912510903
2025-02-13,HK,0.0,0.0,
2025-02-13,JP,0.0,0.0,
2025-02-14,US,8755217.2,-31479.20000000031,-0.003161420085735345
2025-02-14,HK,0.0,0.0,
2025-02-14,JP,0.0,0.0,
2025-02-15,US,8755217.2,0.0,0.0
2025-02-15,HK,0.0,0.0,
2025-02-15,JP,0.0,0.0,
2025-02-17,US,8755217.2,0.0,0.0
2025-02-17,HK,0.0,0.0,
2025-02-17,JP,0.0,0.0,
2025-02-18,US,8832074.6,76857.40000000021,0.00877846868265018
2025-02-18,HK,258042.29585831022,0.0,
2025-02-18,JP,0.0,0.0,
2025-02-19,US,8835751.8,3677.199999999699,0.0004163461209894786
2025-02-19,HK,279841.5227483592,21609.38399601229,0.08368200836820083
2025-02-19,JP,0.0,0.0,
2025-02-20,US,9166430.6,170694.60000000018,0.01931862775955298
2025-02-20,HK,271348.52311631636,-8369.954444383871,-0.02992277992277987
2025-02-20,JP,0.0,0.0,
2025-02-21,US,9043127.4,-123303.20000000027,-0.013451604597322784
2025-02-21,HK,1041936.20791803,21335.91923838223,0.0786069651741294
2025-02-21,JP,0.0,0.0,
2025-02-22,US,9043127.4,0.0,0.0
2025-02-22,HK,1041936.20791803,0.0,0.0
2025-02-22,JP,0.0,0.0,
2025-02-24,US,8686379.0,-356748.4,-0.039449670918049885
2025-02-24,HK,448186.7089647435,-8584.81807131941,-0.008232840021230129
2025-02-24,JP,0.0,0.0,
2025-02-25,US,8385301.0,-52723.00000000011,-0.006069617731393035
2025-02-25,HK,454444.29900725815,6508.9678243226745,0.014531043593130705
2025-02-25,JP,0.0,0.0,
2025-02-26,US,5898035.8,158610.80000000025,0.01891533768435984
2025-02-26,HK,379032.1097824364,-75451.35674826016,-0.166015625
2025-02-26,JP,0.0,0.0,
2025-02-27,US,5730392.8,-167642.9999999998,-0.02842353042346738
2025-02-27,HK,384367.9908796921,5326.115347062741,0.014051522248243648
2025-02-27,JP,0.0,0.0,
2025-02-28,US,5742974.4,12581.599999999928,0.002195591199262978
2025-02-28,HK,939697.619073167,-25730.343887263803,-0.06697459584295613
2025-02-28,JP,0.0,0.0,
2025-03-01,US,5742974.4,0.0,0.0
2025-03-01,HK,939697.619073167,0.0,0.0
2025-03-01,JP,0.0,0.0,
2025-03-03,US,5282777.6,-87056.79999999996,-0.015158834766876196
2025-03-03,HK,918217.7847429127,-21368.702726158812,-0.022742667131919782
2025-03-03,JP,0.0,0.0,
2025-03-04,US,5281784.8,-992.8000000000861,-0.00018793143970325158
2025-03-04,HK,919968.2960811306,1684.4173002080133,0.0018343099983898002
2025-03-04,JP,0.0,0.0,
2025-03-05,US,5451636.6,169851.80000000002,0.032158031126145084
2025-03-05,HK,955333.0966863326,34802.54572622505,0.03780705125965261
2025-03-05,JP,0.0,0.0,
2025-03-06,US,5319068.8,-132567.80000000008,-0.02431706471410807
2025-03-06,HK,1429437.343300783,20854.78212363868,0.021824181004006602
2025-03-06,JP,0.0,0.0,
2025-03-07,US,5341414.4,22345.600000000162,0.004201036091129364
2025-03-07,HK,1388876.0403006054,-40193.50572862272,-0.028125647096954275
2025-03-07,JP,0.0,0.0,
2025-03-08,US,5341414.4,0.0,0.0
2025-03-08,HK,1388876.0403006054,0.0,0.0
2025-03-08,JP,0.0,0.0,
2025-03-10,US,5875009.8,-233224.60000000003,-0.043663453635052175
2025-03-10,HK,1365027.2485873199,-24063.20718387507,-0.017322995118064982
2025-03-10,JP,689772.9040511956,0.0,
2025-03-11,US,5925893.8,50884.00000000008,0.008661091935540275
2025-03-11,HK,1355255.3938322589,-10123.307616867987,-0.007414285579615199
2025-03-11,JP,699481.1947400759,7180.3031111042865,0.010371650821089023
2025-03-12,US,6550392.8,4273.999999999829,0.0007212414100299653
2025-03-12,HK,1379821.0858177997,24792.483811898976,0.018296649808865806
2025-03-12,JP,687156.3129600753,-7727.536391419531,-0.011120615911035072
2025-03-13,US,6450507.0,-99885.79999999983,-0.015248825994068606
2025-03-13,HK,1353107.7473748117,-26926.492789750642,-0.019511467183987975
2025-03-13,JP,1366181.2562406014,-2967.378923198526,-0.004325259515570935
2025-03-14,US,6602650.4,152143.3999999999,0.023586270040478974
2025-03-14,HK,1383098.2640525699,30392.673666069786,0.022468062438764577
2025-03-14,JP,1373986.9343870752,4758.396309565628,0.0034752389226759338
2025-03-15,US,6602650.4,0.0,0.0
2025-03-15,HK,1383098.2640525699,0.0,0.0
2025-03-15,JP,1373986.9343870752,0.0,0.0
2025-03-17,US,7699127.8,91174.39999999995,0.013808757767941182
2025-03-17,HK,1382958.6288336453,57.894792054823256,4.186474895101402e-05
2025-03-17,JP,1364432.8333702486,-3553.2105035683558,-0.0025974025974025974
2025-03-18,US,7607244.8,-91882.99999999991,-0.011934208963254244
2025-03-18,HK,1443148.929606333,59759.598122181036,0.043197960806932556
2025-03-18,JP,1362012.083309584,4712.844578925896,0.003472222222222222
2025-03-19,US,7888386.8,46493.99999999981,0.006111805420012225
2025-03-19,HK,1431554.6196012064,-11705.728588049784,-0.008110614694525509
2025-03-19,JP,1358991.5534107662,-2355.2713230689187,-0.0017301038062283738
2025-03-20,US,7839968.6,-48418.200000000004,-0.006137908957507003
2025-03-20,HK,1423974.0487602027,-7541.915037065437,-0.005268481265873976
2025-03-20,JP,1367795.7605661894,0.0,0.0
2025-03-21,US,7601964.6,-37663.999999999905,-0.0048041008735672614
2025-03-21,HK,1845810.8842499082,-61420.88738849608,-0.04314836657131366
