,Portfolio_KRW
alpha_ann,-0.26821565518059165
beta,1.302288903418698
r2,0.5915076692597689
t_alpha,-1.7153168697553338
t_beta,17.929357362914843
ann_return,0.11809954360097966
ann_vol,0.20732117693838892
sharpe,0.569645346148484
