sector,P&L,Contrib_bps,Port_Return_%,Bench_Return_%,Alpha_%,Net_MV,Long_MV,Short_MV,Position_Type
Communication Services,0.0,0.0,0.0,0.0,0.0,3533616935.8667536,3533616935.8667536,0.0,Long
Consumer Discretionary,-80000779.04348099,-30.828751515109058,-0.8887894069421303,0.0,-0.8887894069421303,8921094240.610584,8921094240.610584,0.0,Long
Energy,0.0,0.0,0.0,0.0,0.0,2195500198.8503103,2195500198.8503103,0.0,Long
Financials,0.0,0.0,0.0,0.0,0.0,454659150.7431795,454659150.7431795,0.0,Long
Health Care,0.0,0.0,0.0,0.0,0.0,1816013738.6825447,1816013738.6825447,0.0,Long
Industrials,-11326646.372634333,-4.364787077031711,-0.9748964172556668,0.0,-0.9748964172556668,1150504105.3003323,1150504105.3003323,0.0,Long
Information Technology,-4483464.189167757,-1.7277282179917193,-0.1094358250843007,0.0,-0.1094358250843007,4092405452.8670616,4092405452.8670616,0.0,Long
Materials,0.0,0.0,0.0,0.0,0.0,1520736330.6012428,1520736330.6012428,0.0,Long
Total,-95810889.60528308,-36.92126681013249,-0.40289956074020716,0.0,-0.40289956074020716,23684530153.52201,23684530153.52201,0.0,Total
