Date,Equity_PnL_USD,Prev_MV_USD,Daily_Hedge_PnL_USD,Ret_Equity,Ret_Total,Equity_Cum_Return,Total_Cum_Return,Hedge_Cum_PnL_USD
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,14526.154393503462,2751347.902551728,0.0,0.005279650159847554,0.005279650159847554,0.005279650159847549,0.005279650159847549,0.0
2025-01-03,27805.922263379834,2037004.5746838765,0.0,0.013650397553817495,0.013650397553817495,0.019002117037292043,0.019002117037292043,0.0
2025-01-04,0.0,2622778.4969472564,0.0,0.0,0.0,0.019002117037292043,0.019002117037292043,0.0
2025-01-06,9457.236922561002,2622758.9780957354,0.0,0.0036058353060819436,0.0036058353060819436,0.022676470847877273,0.022676470847877273,0.0
2025-01-07,1531.0892275832712,2966774.604401433,0.0,0.0005160787156906983,0.0005160787156906983,0.023204252407519332,0.023204252407519332,0.0
2025-01-08,-5384.399999999859,2968276.1762441965,0.0,-0.0018139821500076246,-0.0018139821500076246,0.02134817815784018,0.02134817815784018,0.0
2025-01-09,0.0,3126043.4,0.0,0.0,0.0,0.02134817815784018,0.02134817815784018,0.0
2025-01-10,-42285.00000000017,3126043.4,0.0,-0.013526683602665327,-0.013526683602665327,0.007532724503740429,0.007532724503740429,0.0
2025-01-11,0.0,3083758.4,0.0,0.0,0.0,0.007532724503740429,0.007532724503740429,0.0
2025-01-13,-10202.799999999903,3083758.4,0.0,-0.0033085600999092223,-0.0033085600999092223,0.004199241932094644,0.004199241932094644,0.0
2025-01-14,-22097.600000000002,2676355.6,0.0,-0.008256600879195575,-0.008256600879195575,-0.0040920304117293416,-0.0040920304117293416,0.0
2025-01-15,51748.40000000005,2921243.0,0.0,0.017714513992844846,0.017714513992844846,0.013549995251127767,0.013549995251127767,0.0
2025-01-16,7823.999999999867,2972991.4,0.0,0.0026316927791987113,0.0026316927791987113,0.016217347454987152,0.016217347454987152,0.0
2025-01-17,15134.600000000137,2980815.4,0.0,0.005077335550534306,0.005077335550534306,0.02137702392028995,0.02137702392028995,0.0
2025-01-18,0.0,7575831.8,0.0,0.0,0.0,0.02137702392028995,0.02137702392028995,0.0
2025-01-20,0.0,7575831.8,0.0,0.0,0.0,0.02137702392028995,0.02137702392028995,0.0
2025-01-21,46606.39999999983,7575831.8,0.0,0.006151984525316392,0.006151984525316392,0.027660519565961383,0.027660519565961383,0.0
2025-01-22,103010.20000000017,7622438.2,0.0,0.013514074800895096,0.013514074800895096,0.04154840069730237,0.04154840069730237,0.0
2025-01-23,-78804.00000000017,7668698.4,0.0,-0.01027605936360728,-0.01027605936360728,0.030845387501666544,0.030845387501666544,0.0
2025-01-24,-43649.600000000144,7902790.4,0.0,-0.005523314904062259,-0.005523314904062259,0.025151703809094705,0.025151703809094705,0.0
2025-01-25,0.0,7859140.8,0.0,0.0,0.0,0.025151703809094705,0.025151703809094705,0.0
2025-01-27,-211935.19999999998,7859140.8,-13936.839329482447,-0.026966713715066662,-0.028740042337641086,-0.0024932687020379207,-0.00431119956088355,-13936.839329482447
2025-01-28,147553.4000000002,7967303.6,-32762.254259938854,0.018519866620872863,0.01440777852874357,0.015980422915023107,0.010034464159393464,-46699.0935894213
2025-01-29,31463.799999999737,8114857.0,5825.031486436905,0.0038773080043184665,0.004595131064717054,0.019919691941022277,0.014675704902087139,-40874.0621029844
2025-01-30,75830.00000000012,8146320.8,-10106.258863465231,0.009308496665144848,0.008067904855469831,0.02941361099217077,0.02286201194839399,-50980.320966449624
2025-01-31,-66796.00000000009,8222150.8,3662.445288638628,-0.008123908406058436,-0.00767847200167643,0.021050749104520428,0.015007994628069676,-47317.875677811
2025-02-01,0.0,8511178.8,0.0,0.0,0.0,0.021050749104520428,0.015007994628069676,-47317.875677811
