Date,Country,MV_KRW,PnL_KRW,Country_Ret_KRW
2025-01-01,US,0.0,0.0,
2025-01-01,HK,0.0,0.0,
2025-01-01,JP,0.0,0.0,
2025-01-02,US,2705438160.2121096,36985941.89824219,0.00988369245085363
2025-01-02,HK,295915741.171875,-15552389.805908209,-0.04993252361673416
2025-01-02,JP,0.0,0.0,
2025-01-03,US,3561958467.021411,38820067.33400884,0.01436713496499202
2025-01-03,HK,297843075.8578491,2100444.8226928636,0.007102272727272702
2025-01-03,JP,0.0,0.0,
2025-01-04,US,3561958467.021411,0.0,0.0
2025-01-04,HK,297843075.8578491,0.0,0.0
2025-01-04,JP,0.0,0.0,
2025-01-06,US,4050807070.658203,13441548.322705127,0.0037893983938583104
2025-01-06,HK,297343049.4140625,418793.0273437411,0.0014104372355429884
2025-01-06,JP,0.0,0.0,
2025-01-07,US,4040819652.518213,6818258.281884514,0.0016901973042513702
2025-01-07,HK,291692255.8721924,-4590293.010864234,-0.015492957746478792
2025-01-07,JP,0.0,0.0,
2025-01-08,US,4538639906.855884,-7817502.69829081,-0.0019447198818171503
2025-01-08,HK,0.0,0.0,0.0
2025-01-08,JP,0.0,0.0,
2025-01-09,US,4557677404.314697,0.0,0.0
2025-01-09,HK,0.0,0.0,
2025-01-09,JP,0.0,0.0,
2025-01-10,US,4487577676.202344,-61534399.72412135,-0.013526683602665329
2025-01-10,HK,0.0,0.0,
2025-01-10,JP,0.0,0.0,
2025-01-11,US,4487577676.202344,0.0,0.0
2025-01-11,HK,0.0,0.0,
2025-01-11,JP,0.0,0.0,
2025-01-13,US,3940264532.1,-15021072.299999857,-0.0033085600999092236
2025-01-13,HK,0.0,0.0,
2025-01-13,JP,0.0,0.0,
2025-01-14,US,4261772243.0616455,-32237967.987695318,-0.008256600879195572
2025-01-14,HK,0.0,0.0,
2025-01-14,JP,0.0,0.0,
2025-01-15,US,4341875386.017284,75575430.26386726,0.017714513992844842
2025-01-15,HK,0.0,0.0,
2025-01-15,JP,0.0,0.0,
2025-01-16,US,4284087421.8594236,11244809.05078106,0.002631692779198711
2025-01-16,HK,0.0,0.0,
2025-01-16,JP,0.0,0.0,
2025-01-17,US,11010107464.670973,21995416.05910664,0.005077335550534306
2025-01-17,HK,0.0,0.0,
2025-01-17,JP,0.0,0.0,
2025-01-18,US,11010107464.670973,0.0,0.0
2025-01-18,HK,0.0,0.0,
2025-01-18,JP,0.0,0.0,
2025-01-20,US,11040865785.675367,0.0,0.0
2025-01-20,HK,0.0,0.0,
2025-01-20,JP,0.0,0.0,
2025-01-21,US,10942238932.55962,66904886.75742163,0.006151984525316393
2025-01-21,HK,0.0,0.0,
2025-01-21,JP,0.0,0.0,
2025-01-22,US,10933953791.29453,146870917.08183613,0.013514074800895094
2025-01-22,HK,0.0,0.0,
2025-01-22,JP,0.0,0.0,
2025-01-23,US,11335288112.221094,-113031726.66650414,-0.010276059363607279
2025-01-23,HK,0.0,0.0,
2025-01-23,JP,0.0,0.0,
2025-01-24,US,11269458189.46582,-62590473.272461146,-0.00552331490406226
2025-01-24,HK,0.0,0.0,
2025-01-24,JP,0.0,0.0,
2025-01-25,US,11269458189.46582,0.0,0.0
2025-01-25,HK,0.0,0.0,
2025-01-25,JP,0.0,0.0,
2025-01-27,US,11374361677.37085,-302565050.6108398,-0.02696671371506666
2025-01-27,HK,0.0,0.0,
2025-01-27,JP,0.0,0.0,
2025-01-28,US,11506218394.049927,209218923.41228056,0.018519866620872863
2025-01-28,HK,0.0,0.0,
2025-01-28,JP,0.0,0.0,
2025-01-29,US,11757259037.361914,45410444.29526329,0.0038773080043184647
2025-01-29,HK,0.0,0.0,
2025-01-29,JP,0.0,0.0,
2025-01-30,US,11867194251.036572,109446951.52709979,0.009308496665144848
2025-01-30,HK,0.0,0.0,
2025-01-30,JP,0.0,0.0,
2025-01-31,US,12270226319.717432,-96297123.64306656,-0.008123908406058438
2025-01-31,HK,0.0,0.0,
2025-01-31,JP,0.0,0.0,
2025-02-01,US,12270226319.717432,0.0,0.0
2025-02-01,HK,0.0,0.0,
2025-02-01,JP,0.0,0.0,
2025-02-03,US,12310897234.956837,-88018066.65810563,-0.007098852158998248
2025-02-03,HK,0.0,0.0,
2025-02-03,JP,0.0,0.0,
2025-02-04,US,12020033071.63877,176210058.01699266,0.014291071031819284
2025-02-04,HK,0.0,0.0,
2025-02-04,JP,0.0,0.0,
2025-02-05,US,11889207227.967823,41929637.19626476,0.003509697606518745
2025-02-05,HK,0.0,0.0,
2025-02-05,JP,0.0,0.0,
2025-02-06,US,12131059985.46106,43984643.96022921,0.0037156089729249876
2025-02-06,HK,0.0,0.0,
2025-02-06,JP,0.0,0.0,
2025-02-07,US,12103380507.287329,-13060687.481103092,-0.0010779309923727729
2025-02-07,HK,0.0,0.0,
2025-02-07,JP,0.0,0.0,
2025-02-08,US,12103380507.287329,0.0,0.0
2025-02-08,HK,0.0,0.0,
2025-02-08,JP,0.0,0.0,
2025-02-10,US,12480830388.037304,306364850.3647704,0.02516454208332664
2025-02-10,HK,0.0,0.0,
2025-02-10,JP,0.0,0.0,
2025-02-11,US,14133698901.52207,131540787.31816398,0.010520642157902861
2025-02-11,HK,0.0,0.0,
2025-02-11,JP,0.0,0.0,
2025-02-12,US,14217084802.900002,107311107.04999958,0.007605444946403511
2025-02-12,HK,0.0,0.0,
2025-02-12,JP,0.0,0.0,
2025-02-13,US,14459190651.868383,228680147.25505427,0.016069707912510896
2025-02-13,HK,0.0,0.0,
2025-02-13,JP,0.0,0.0,
2025-02-14,US,12596481108.827831,-45290383.90058639,-0.003161420085735345
2025-02-14,HK,0.0,0.0,
2025-02-14,JP,0.0,0.0,
2025-02-15,US,12596481108.827831,0.0,0.0
2025-02-15,HK,0.0,0.0,
2025-02-15,JP,0.0,0.0,
2025-02-17,US,12542723946.969582,0.0,0.0
2025-02-17,HK,0.0,0.0,
2025-02-17,JP,0.0,0.0,
2025-02-18,US,12729581145.236914,110773805.04824251,0.00877846868265018
2025-02-18,HK,371902784.19799805,0.0,
2025-02-18,JP,0.0,0.0,
2025-02-19,US,12724189063.854126,5295462.014403872,0.0004163461209894786
