region,pnl_report,net_exposure_report,return_report,currency
HK,-80000779.04348099,8488269348.324337,-0.009424863392120548,HKD
JP,-15810110.56180209,2358443746.5818977,-0.006703619954775579,JPY
US,0.0,15103341679.213598,0.0,USD
